7 10 2589
10656 13275.0 18117 20664 5860
hub : 481012, 3185, -1209, 45.65, 202500, 2
major : 809398, -473, 1111, 72.16, 242500, 2
major : 556326, 2923, 1481, 57.75, 159750, 1
regional : 905056, 138, 2075, 97.46, 125600, 1
regional : 134017, 1548, 235, 92.95, 199800, 2
regional : 664408, -29, -736, 87.67, 144000, 1
regional : 590305, 2093, 1384, 109.12, 190800, 1
major : 549568, 3172, -197, 71.94, 136000, 3
regional : 793606, 2608, 490, 88.77, 147800, 1
major : 898202, -565, -55, 52.8, 245250, 2
business : 1163852024, 189, 1, [905056, 898202]
economy : 5858390719, 172, 1, [809398, 590305]
economy : 8863816408, 133, 3, [793606, 481012]
economy : 8945242473, 150, 0, [664408, 481012]
economy : 8948714580, 147, 1, [905056, 556326]
economy : 6501156870, 89, 4, [793606, 664408]
economy : 5346960452, 83, 2, [481012, 793606]
economy : 7740303326, 50, 0, [590305, 134017]
economy : 4588472369, 82, 1, [664408, 134017]
economy : 7978437498, 103, 1, [898202, 134017]
economy : 9612725392, 97, 1, [549568, 481012]
economy : 8548176300, 161, 6, [664408, 905056]
economy : 8259433493, 130, 2, [898202, 905056]
economy : 5041650535, 96, 3, [549568, 664408]
business : 7516619778, 142, 2, [905056, 809398]
economy : 4552210440, 88, 0, [905056, 549568]
business : 9697167593, 192, 3, [905056, 134017]
economy : 4737582280, 119, 0, [809398, 664408]
economy : 1530056607, 85, 0, [134017, 898202]
business : 2479477851, 54, 2, [481012, 590305]
economy : 2468107291, 103, 0, [549568, 134017]
economy : 4588240062, 162, 2, [905056, 664408]
economy : 3735767464, 106, 7, [556326, 905056]
economy : 8222371283, 111, 1, [809398, 898202]
economy : 6222499956, 72, 8, [134017, 898202]
economy : 7546936550, 123, 3, [556326, 134017]
economy : 6429307497, 126, 4, [905056, 134017]
economy : 3650898289, 190, 2, [793606, 549568]
first : 8993557041, 100, 2, [905056, 809398]
business : 7737553411, 176, 1, [556326, 664408]
business : 1789538151, 139, 1, [898202, 809398]
luxury : 2551810959, 132, 1, [134017, 556326]
economy : 4107833023, 178, 1, [134017, 898202]
business : 7816754460, 150, 1, [905056, 481012]
economy : 4095539048, 59, 6, [793606, 549568]
economy : 3977852616, 102, 0, [134017, 905056]
luxury : 2976150844, 150, 0, [905056, 590305]
business : 9238105337, 119, 0, [898202, 134017]
economy : 6863267615, 84, 1, [809398, 898202]
business : 6066760602, 158, 2, [556326, 590305]
economy : 3526099650, 192, 1, [905056, 664408]
economy : 3797940237, 140, 6, [556326, 793606]
economy : 8906822106, 57, 1, [134017, 898202]
economy : 8339284304, 92, 3, [590305, 481012]
economy : 7239380441, 130, 2, [809398, 793606]
first : 8572858842, 41, 0, [905056, 793606]
first : 6371855095, 108, 3, [556326, 590305]
business : 2513003009, 123, 1, [481012, 134017]
business : 5127934606, 47, 0, [134017, 905056]
economy : 8501689143, 177, 2, [481012, 809398]
business : 1988348505, 170, 1, [809398, 134017]
economy : 2351772513, 155, 1, [590305, 481012]
economy : 8652654868, 90, 2, [556326, 481012]
economy : 1977828833, 84, 2, [664408, 905056]
economy : 3746875557, 102, 1, [549568, 664408]
economy : 2418373941, 174, 2, [809398, 898202]
first : 2346639208, 152, 1, [549568, 793606]
business : 9241546890, 184, 1, [549568, 590305]
economy : 9535960023, 138, 2, [549568, 481012]
economy : 9701400210, 136, 5, [549568, 793606]
economy : 1269592116, 105, 2, [549568, 793606]
business : 9758756603, 132, 3, [809398, 556326]
economy : 8674275849, 105, 1, [590305, 905056]
economy : 3015290013, 169, 3, [664408, 793606]
economy : 9383631837, 59, 2, [898202, 590305]
economy : 8779888286, 99, 5, [905056, 134017]
business : 6951365364, 65, 0, [481012, 905056]
economy : 5650875308, 157, 0, [809398, 556326]
economy : 8514372729, 57, 2, [664408, 898202]
economy : 1645110230, 118, 1, [556326, 664408]
economy : 6802041286, 187, 3, [134017, 590305]
economy : 8278788714, 65, 1, [809398, 549568]
economy : 9158726597, 56, 0, [134017, 905056]
economy : 4090022096, 76, 1, [898202, 134017]
business : 5107806164, 194, 1, [134017, 664408]
economy : 2823470829, 193, 2, [556326, 905056]
business : 7748720956, 107, 0, [134017, 664408]
business : 1862907469, 161, 4, [134017, 590305]
economy : 9909440431, 147, 2, [590305, 793606]
economy : 2331370873, 46, 0, [590305, 809398]
business : 8803588143, 157, 2, [556326, 590305]
economy : 3349087375, 195, 1, [556326, 134017]
economy : 6678533467, 106, 1, [556326, 793606]
economy : 5947086587, 169, 2, [134017, 481012]
economy : 2010068728, 150, 1, [556326, 905056]
business : 3729330596, 160, 5, [549568, 556326]
economy : 2835804047, 73, 2, [481012, 549568]
economy : 3602895995, 71, 2, [556326, 898202]
business : 6458010817, 160, 0, [809398, 134017]
economy : 2843719171, 88, 3, [590305, 481012]
luxury : 8168917718, 130, 2, [590305, 793606]
economy : 7082552262, 142, 4, [549568, 809398]
economy : 1036429052, 116, 2, [134017, 793606]
economy : 7024941672, 51, 3, [556326, 481012]
economy : 6911480169, 164, 1, [809398, 556326]
economy : 1607223082, 196, 1, [556326, 134017]
economy : 8466988564, 132, 1, [556326, 905056]
economy : 2456897854, 47, 6, [549568, 481012]
economy : 9548726784, 136, 1, [809398, 481012]
economy : 6091575890, 158, 1, [905056, 793606]
economy : 6578687024, 113, 1, [793606, 590305]
business : 8984717250, 167, 1, [556326, 664408]
business : 3349366632, 199, 0, [556326, 590305]
economy : 6332647475, 75, 2, [664408, 481012]
economy : 7284524456, 172, 0, [590305, 134017]
economy : 9878889481, 108, 1, [556326, 590305]
economy : 5274265442, 53, 1, [590305, 549568]
first : 1375381439, 92, 3, [809398, 481012]
economy : 8493893068, 72, 1, [549568, 556326]
economy : 8808702176, 64, 9, [793606, 905056]
economy : 8918304269, 150, 3, [898202, 590305]
business : 9182407245, 70, 9, [809398, 664408]
economy : 5506121938, 57, 0, [549568, 134017]
economy : 1684903393, 43, 1, [590305, 809398]
economy : 2802134930, 128, 2, [664408, 905056]
economy : 7699277163, 192, 8, [481012, 905056]
business : 9057568535, 134, 0, [556326, 664408]
economy : 7013833987, 116, 3, [481012, 556326]
economy : 7162691832, 84, 4, [898202, 549568]
economy : 9887308599, 78, 6, [905056, 809398]
economy : 6946964707, 79, 0, [898202, 481012]
business : 8225966552, 91, 0, [590305, 793606]
economy : 3528631824, 200, 0, [481012, 905056]
economy : 2434632930, 66, 6, [481012, 664408]
business : 7154610681, 115, 0, [549568, 793606]
business : 1185549193, 109, 3, [481012, 898202]
business : 1382304536, 160, 1, [793606, 809398]
economy : 8259337146, 71, 0, [134017, 898202]
business : 2425962000, 114, 3, [793606, 134017]
economy : 6464098540, 74, 1, [905056, 481012]
economy : 2455598753, 184, 6, [134017, 905056]
economy : 7120021838, 51, 4, [664408, 793606]
luxury : 5590528005, 150, 2, [809398, 549568]
business : 8898102289, 159, 0, [556326, 549568]
economy : 4203901041, 83, 2, [793606, 664408]
economy : 1728527688, 77, 1, [134017, 556326]
economy : 3143717371, 140, 3, [809398, 481012]
first : 8362273819, 142, 2, [481012, 549568]
business : 3105660049, 161, 4, [549568, 134017]
first : 1606780754, 62, 1, [898202, 905056]
business : 2927249512, 184, 1, [809398, 549568]
business : 3097764494, 193, 2, [481012, 664408]
economy : 3697557925, 54, 5, [905056, 793606]
economy : 3107374042, 144, 4, [793606, 905056]
economy : 8238384460, 117, 1, [664408, 590305]
economy : 4253527091, 41, 1, [793606, 590305]
economy : 9038701200, 69, 2, [898202, 905056]
economy : 3440203744, 200, 2, [590305, 793606]
business : 8654813103, 45, 1, [481012, 793606]
economy : 3902245111, 103, 3, [898202, 134017]
economy : 8049584746, 189, 0, [905056, 793606]
economy : 5821083085, 184, 2, [898202, 590305]
economy : 8817321944, 193, 9, [898202, 809398]
economy : 3630680798, 184, 8, [556326, 905056]
economy : 2439286554, 133, 0, [898202, 905056]
economy : 4474192627, 122, 0, [898202, 809398]
economy : 7354550247, 170, 1, [664408, 905056]
business : 8884221930, 113, 1, [809398, 549568]
business : 4947256422, 40, 2, [664408, 481012]
business : 7975767305, 84, 0, [905056, 549568]
business : 6878988382, 77, 1, [134017, 793606]
economy : 2644426971, 110, 1, [905056, 556326]
first : 6325574506, 192, 0, [809398, 481012]
economy : 6749538411, 62, 3, [556326, 898202]
business : 8359825108, 173, 1, [898202, 793606]
economy : 1339182565, 192, 0, [134017, 809398]
economy : 9080188317, 65, 2, [664408, 134017]
economy : 6428112233, 186, 10, [134017, 556326]
economy : 2378787917, 159, 0, [905056, 793606]
economy : 3068208206, 148, 1, [549568, 481012]
business : 8435331059, 134, 0, [793606, 809398]
economy : 8594312516, 195, 9, [134017, 905056]
economy : 3283143573, 127, 0, [905056, 549568]
first : 5386845132, 59, 2, [481012, 905056]
economy : 1981839028, 135, 1, [905056, 664408]
economy : 1567014476, 152, 1, [905056, 549568]
business : 1078414625, 192, 4, [664408, 549568]
economy : 1004043300, 40, 1, [905056, 549568]
economy : 3665320669, 166, 4, [134017, 481012]
economy : 1581427213, 168, 6, [664408, 898202]
first : 6333867225, 181, 4, [481012, 793606]
business : 7247715162, 54, 1, [664408, 134017]
economy : 5555649544, 67, 9, [905056, 809398]
economy : 6038376340, 142, 6, [905056, 793606]
economy : 7634359942, 114, 1, [793606, 549568]
business : 3743668768, 169, 0, [549568, 664408]
first : 2513605997, 177, 2, [905056, 898202]
economy : 1004596972, 162, 3, [809398, 793606]
economy : 8144502253, 120, 1, [590305, 549568]
luxury : 4378259529, 56, 0, [905056, 664408]
economy : 4152299948, 106, 2, [590305, 809398]
economy : 7523421273, 199, 1, [549568, 556326]
economy : 9613766860, 118, 1, [793606, 905056]
economy : 5777829977, 58, 4, [134017, 481012]
first : 6600289868, 168, 2, [905056, 898202]
business : 1025079193, 182, 1, [549568, 134017]
economy : 2964980204, 122, 3, [809398, 793606]
economy : 2969351646, 200, 1, [590305, 549568]
business : 8378061375, 144, 1, [664408, 134017]
economy : 8241587392, 167, 2, [898202, 905056]
economy : 9357076919, 62, 0, [664408, 556326]
first : 6322266383, 106, 2, [590305, 809398]
business : 9611956198, 46, 0, [664408, 556326]
first : 7643123690, 190, 0, [134017, 549568]
economy : 9169593409, 84, 2, [809398, 793606]
economy : 4015449975, 42, 1, [793606, 898202]
business : 3056924698, 135, 2, [898202, 549568]
economy : 1768392175, 40, 1, [556326, 809398]
economy : 8845983265, 61, 1, [590305, 134017]
first : 7673518313, 111, 0, [549568, 664408]
economy : 5252028802, 146, 5, [809398, 898202]
business : 1180877510, 131, 1, [549568, 664408]
business : 7075136589, 41, 3, [134017, 793606]
economy : 1834154228, 95, 1, [481012, 134017]
luxury : 7938377345, 136, 7, [556326, 664408]
first : 4079594329, 184, 2, [898202, 556326]
economy : 1952415162, 136, 2, [556326, 664408]
business : 2141954073, 79, 5, [549568, 664408]
economy : 9644482762, 64, 2, [898202, 556326]
economy : 6047993938, 173, 7, [134017, 809398]
economy : 6895175034, 91, 0, [664408, 590305]
economy : 7713884897, 57, 2, [590305, 809398]
first : 1665595937, 183, 3, [664408, 793606]
economy : 9268325083, 115, 1, [898202, 556326]
first : 4052407766, 159, 3, [556326, 809398]
economy : 7338811095, 109, 1, [481012, 556326]
economy : 9437149483, 118, 6, [809398, 898202]
economy : 6462306052, 74, 2, [905056, 898202]
business : 3527416544, 182, 5, [809398, 556326]
economy : 8676881893, 179, 0, [590305, 134017]
business : 5695739214, 130, 1, [481012, 590305]
economy : 3535485400, 95, 1, [905056, 590305]
economy : 1367523933, 159, 0, [793606, 664408]
economy : 2937221765, 118, 4, [905056, 481012]
economy : 2990694505, 88, 5, [556326, 898202]
economy : 1927875788, 143, 2, [590305, 905056]
economy : 4991786910, 107, 3, [664408, 134017]
economy : 1115566003, 174, 7, [905056, 556326]
economy : 9364889986, 114, 3, [809398, 905056]
economy : 6713806104, 82, 0, [905056, 590305]
economy : 4284038203, 150, 2, [134017, 905056]
business : 6985595836, 157, 5, [898202, 549568]
economy : 5406867495, 191, 1, [664408, 809398]
economy : 3030233563, 143, 5, [793606, 809398]
economy : 9690443293, 93, 2, [793606, 898202]
economy : 7062513168, 80, 1, [898202, 481012]
economy : 4162008997, 156, 1, [664408, 905056]
first : 9497026996, 123, 1, [905056, 549568]
economy : 3902434472, 158, 3, [134017, 905056]
economy : 6399968110, 61, 2, [793606, 809398]
economy : 5226325756, 176, 4, [664408, 905056]
economy : 6413898011, 84, 0, [481012, 898202]
economy : 4939461134, 93, 0, [793606, 664408]
first : 9771158081, 139, 3, [793606, 898202]
first : 4688039585, 85, 1, [134017, 905056]
first : 5970372308, 114, 1, [481012, 664408]
economy : 9429002666, 51, 1, [898202, 549568]
economy : 9315305608, 137, 0, [664408, 898202]
business : 6494732903, 60, 3, [905056, 793606]
economy : 5660069636, 84, 2, [664408, 905056]
first : 5865830660, 47, 1, [481012, 793606]
economy : 5613060370, 186, 2, [898202, 590305]
economy : 3389909400, 99, 2, [809398, 549568]
economy : 4266317262, 110, 2, [556326, 481012]
luxury : 8925190862, 125, 1, [134017, 898202]
economy : 8913380074, 154, 1, [590305, 905056]
economy : 7998559197, 149, 2, [809398, 664408]
economy : 2369374659, 97, 6, [664408, 556326]
economy : 7301265678, 195, 4, [556326, 898202]
economy : 4338181494, 172, 1, [905056, 481012]
business : 1440447011, 171, 0, [549568, 556326]
first : 5185986113, 130, 0, [905056, 590305]
business : 7920707872, 116, 9, [590305, 481012]
economy : 9989745343, 121, 6, [793606, 134017]
economy : 5057507677, 192, 0, [481012, 549568]
economy : 4581283654, 117, 2, [549568, 481012]
economy : 7049688475, 134, 1, [481012, 590305]
economy : 7758637480, 188, 9, [809398, 549568]
first : 7163793126, 170, 1, [556326, 664408]
luxury : 6141499739, 139, 2, [590305, 549568]
economy : 4226532157, 66, 0, [905056, 809398]
economy : 7402975816, 91, 1, [905056, 809398]
business : 8862101831, 86, 1, [590305, 809398]
economy : 3652623967, 61, 1, [556326, 809398]
economy : 9672900567, 44, 3, [793606, 898202]
first : 2298977970, 73, 7, [481012, 793606]
economy : 9466383116, 98, 2, [556326, 481012]
first : 7147518896, 65, 1, [549568, 556326]
economy : 3567815689, 86, 1, [134017, 590305]
economy : 9201484705, 70, 2, [905056, 793606]
business : 1967120805, 165, 2, [556326, 905056]
business : 8325471230, 86, 0, [809398, 793606]
