18 10 1964
11952 14962.5 15039 23652 5450
regional : 830684, -103, -1109, 81.07, 157800, 4
major : 107417, -904, 1803, 48.95, 218500, 5
major : 687791, 924, 242, 50.05, 240750, 5
hub : 227105, 1284, -2209, 52.14, 230400, 4
regional : 474237, 1253, 2200, 66.66, 175800, 2
regional : 119743, -1703, -2929, 79.31, 164800, 2
regional : 740833, -1040, -1183, 66.44, 150000, 3
major : 555802, 2839, 354, 53.68, 155500, 4
hub : 984826, -405, 1464, 38.39, 203100, 4
regional : 976870, 98, 229, 105.82, 150800, 3
economy : 7002833410, 104, 2, [227105, 976870]
economy : 6480822701, 171, 1, [555802, 687791]
economy : 2119591438, 156, 0, [227105, 107417]
business : 3775738676, 187, 2, [976870, 555802]
first : 1943186234, 108, 3, [687791, 984826]
business : 5270275249, 70, 2, [107417, 976870]
business : 5407870278, 155, 5, [740833, 555802]
business : 9656627485, 198, 7, [740833, 555802]
luxury : 5140822189, 174, 2, [107417, 227105]
economy : 2909376638, 162, 1, [474237, 227105]
luxury : 9292677435, 67, 4, [555802, 976870]
economy : 7800033813, 46, 6, [555802, 830684]
economy : 7726165446, 81, 1, [119743, 976870]
business : 8003194190, 77, 5, [227105, 984826]
economy : 6374101341, 66, 1, [119743, 227105]
economy : 7165200031, 148, 3, [984826, 830684]
economy : 8582963796, 145, 2, [976870, 740833]
economy : 3208313031, 87, 3, [984826, 119743]
economy : 1990067806, 130, 3, [687791, 976870]
first : 8602232324, 85, 6, [687791, 740833]
first : 3676454610, 85, 3, [984826, 976870]
economy : 8168066351, 99, 4, [119743, 984826]
economy : 2558973351, 174, 1, [830684, 984826]
economy : 2227368961, 171, 2, [474237, 740833]
first : 1757286539, 62, 9, [740833, 227105]
economy : 2999274288, 129, 3, [119743, 740833]
economy : 6834999890, 200, 1, [107417, 227105]
economy : 5395580233, 94, 2, [984826, 976870]
economy : 8404157624, 96, 0, [740833, 830684]
first : 9603580216, 98, 5, [227105, 976870]
economy : 6694133042, 149, 2, [107417, 119743]
business : 4475210546, 107, 1, [830684, 107417]
economy : 3145039006, 52, 0, [227105, 687791]
economy : 4255252617, 46, 6, [976870, 984826]
economy : 1007452287, 64, 8, [740833, 107417]
economy : 5756424514, 190, 9, [474237, 227105]
economy : 5873269448, 71, 0, [740833, 119743]
economy : 6482889831, 197, 1, [976870, 740833]
economy : 7696078690, 106, 2, [740833, 474237]
economy : 2645123676, 73, 1, [474237, 555802]
economy : 3898759062, 157, 2, [830684, 984826]
business : 3556921839, 107, 5, [740833, 976870]
economy : 1358565003, 61, 2, [227105, 687791]
business : 5951261155, 120, 2, [119743, 687791]
business : 8761259075, 94, 1, [555802, 740833]
economy : 6864349188, 104, 1, [976870, 107417]
economy : 7742297292, 53, 2, [984826, 227105]
economy : 4182405117, 58, 2, [474237, 687791]
economy : 9792513540, 162, 2, [119743, 555802]
economy : 8750328449, 185, 8, [474237, 740833]
luxury : 4726518713, 153, 4, [976870, 227105]
business : 5260975889, 44, 2, [984826, 830684]
economy : 1044770047, 137, 0, [976870, 555802]
economy : 3465895991, 49, 5, [119743, 984826]
economy : 6128466352, 76, 3, [984826, 555802]
economy : 6943750897, 56, 5, [555802, 107417]
economy : 4195136757, 95, 2, [830684, 740833]
economy : 8228135224, 48, 3, [227105, 119743]
economy : 6923856505, 145, 2, [107417, 740833]
economy : 1194344896, 129, 5, [227105, 555802]
economy : 8002545089, 54, 5, [119743, 830684]
economy : 1328500139, 121, 1, [740833, 830684]
business : 3899879042, 175, 5, [474237, 119743]
business : 5064503870, 55, 2, [687791, 976870]
economy : 4806027479, 185, 1, [107417, 227105]
first : 9277157331, 53, 1, [687791, 227105]
first : 6753019096, 69, 5, [227105, 119743]
economy : 6534122136, 114, 5, [830684, 555802]
economy : 4310129685, 54, 5, [474237, 107417]
economy : 6474412760, 129, 1, [555802, 474237]
economy : 3828032998, 108, 1, [984826, 107417]
economy : 9474229894, 97, 5, [976870, 740833]
economy : 3822329120, 79, 5, [119743, 984826]
economy : 1888454145, 111, 0, [687791, 107417]
business : 2862490994, 187, 0, [227105, 976870]
economy : 4282482162, 126, 4, [740833, 227105]
economy : 3241088520, 165, 2, [119743, 740833]
business : 8240416263, 167, 2, [740833, 687791]
first : 1942786540, 190, 2, [119743, 687791]
luxury : 4265688255, 72, 3, [227105, 830684]
economy : 8689044243, 72, 1, [107417, 984826]
economy : 4160978703, 134, 1, [830684, 107417]
economy : 6977951108, 42, 1, [474237, 687791]
business : 7284059854, 147, 3, [740833, 474237]
luxury : 7669800450, 105, 2, [227105, 474237]
luxury : 3925153407, 61, 2, [984826, 474237]
economy : 7175469563, 115, 0, [227105, 555802]
economy : 3665099743, 158, 0, [107417, 830684]
economy : 7568907469, 170, 6, [984826, 687791]
luxury : 6585849664, 42, 0, [984826, 119743]
economy : 8382723372, 129, 0, [984826, 830684]
economy : 4624261760, 156, 2, [687791, 474237]
economy : 1881880079, 136, 9, [227105, 687791]
economy : 3778207914, 178, 0, [740833, 976870]
economy : 5809238642, 182, 0, [984826, 687791]
business : 9284314817, 120, 1, [474237, 555802]
business : 6669040998, 119, 1, [474237, 119743]
business : 8362911429, 157, 2, [976870, 474237]
economy : 2622556501, 41, 3, [984826, 740833]
economy : 4126465921, 194, 4, [740833, 474237]
economy : 9138876716, 133, 10, [984826, 976870]
economy : 7367515520, 139, 1, [474237, 687791]
business : 9017742350, 141, 2, [687791, 984826]
business : 4166386119, 82, 5, [984826, 555802]
economy : 6558994330, 72, 2, [227105, 740833]
business : 6736847693, 120, 1, [740833, 687791]
economy : 2287964181, 98, 3, [227105, 976870]
economy : 8402219109, 160, 10, [227105, 687791]
economy : 1684701643, 67, 5, [740833, 474237]
economy : 7771397930, 62, 2, [976870, 107417]
business : 4428255708, 109, 0, [740833, 555802]
economy : 9070291474, 193, 1, [976870, 474237]
economy : 7709928346, 170, 1, [119743, 830684]
economy : 1983729193, 162, 1, [107417, 687791]
economy : 7804176799, 185, 2, [119743, 107417]
economy : 8795708218, 64, 3, [976870, 740833]
business : 7233003554, 169, 2, [740833, 555802]
economy : 9187380249, 155, 1, [830684, 976870]
economy : 9135197356, 84, 1, [107417, 119743]
business : 7799025041, 124, 2, [687791, 976870]
first : 9184544217, 40, 1, [555802, 740833]
first : 4223232750, 151, 2, [119743, 474237]
economy : 5312640553, 85, 2, [107417, 976870]
first : 3568303668, 151, 8, [976870, 984826]
economy : 9833413539, 152, 2, [227105, 976870]
economy : 1853942774, 120, 3, [740833, 687791]
economy : 5224328008, 187, 4, [555802, 227105]
economy : 8291334190, 178, 0, [740833, 976870]
luxury : 4569696808, 51, 2, [976870, 119743]
luxury : 1106228264, 107, 4, [107417, 976870]
economy : 1116563886, 158, 0, [984826, 830684]
economy : 6437107366, 46, 0, [227105, 976870]
economy : 7076230473, 124, 1, [119743, 687791]
business : 4122064860, 173, 4, [984826, 830684]
economy : 5390248110, 138, 1, [119743, 740833]
economy : 8206268126, 200, 0, [976870, 830684]
economy : 9688088449, 200, 1, [984826, 830684]
business : 6643602763, 137, 0, [687791, 474237]
economy : 6323968041, 162, 1, [474237, 555802]
economy : 7186918552, 117, 0, [687791, 830684]
first : 8037238061, 67, 3, [740833, 474237]
economy : 9841290010, 158, 3, [227105, 119743]
economy : 2023938000, 192, 5, [976870, 107417]
first : 9826810621, 141, 2, [227105, 976870]
economy : 6713958596, 46, 0, [227105, 984826]
economy : 5471093185, 166, 2, [119743, 984826]
business : 4614067365, 124, 8, [830684, 976870]
business : 7909102966, 126, 2, [976870, 107417]
first : 7183146904, 197, 3, [740833, 976870]
economy : 5046838242, 108, 1, [830684, 984826]
economy : 4854979746, 131, 0, [984826, 976870]
economy : 7942938576, 114, 0, [830684, 474237]
economy : 1457491650, 148, 3, [687791, 107417]
economy : 6357100844, 53, 4, [740833, 830684]
economy : 7871944600, 97, 9, [474237, 119743]
economy : 4479980197, 69, 2, [227105, 119743]
first : 7277071362, 183, 2, [830684, 107417]
business : 1217151950, 72, 2, [474237, 984826]
business : 1733410642, 121, 5, [474237, 107417]
economy : 3797129226, 178, 0, [976870, 830684]
business : 7025513935, 57, 1, [555802, 107417]
business : 3506510385, 163, 9, [740833, 227105]
economy : 9952705737, 71, 3, [107417, 687791]
economy : 6204973763, 70, 2, [107417, 984826]
first : 3770408354, 167, 1, [107417, 984826]
economy : 4358591040, 87, 0, [227105, 119743]
economy : 8935451860, 197, 2, [740833, 474237]
business : 2560423959, 120, 1, [107417, 227105]
economy : 3339344527, 43, 4, [227105, 984826]
economy : 4968813419, 41, 2, [474237, 687791]
economy : 1034107659, 109, 0, [474237, 227105]
business : 4063431842, 116, 3, [474237, 984826]
economy : 1687799580, 64, 0, [474237, 687791]
economy : 9057009424, 78, 1, [474237, 107417]
economy : 6598446038, 43, 2, [119743, 984826]
economy : 9026779266, 116, 4, [119743, 227105]
economy : 4359972274, 76, 2, [119743, 227105]
first : 7977657296, 183, 2, [474237, 984826]
economy : 3004709851, 76, 2, [984826, 740833]
first : 7939976336, 75, 1, [555802, 687791]
business : 2640855064, 45, 5, [474237, 555802]
economy : 2096519555, 72, 5, [984826, 976870]
economy : 4746998074, 40, 1, [830684, 227105]
economy : 1945030810, 127, 2, [984826, 687791]
economy : 9803849261, 57, 2, [107417, 474237]
economy : 7812269385, 187, 1, [107417, 687791]
economy : 8114324053, 58, 2, [227105, 119743]
economy : 4848960697, 167, 1, [976870, 107417]
economy : 3870209014, 177, 0, [227105, 474237]
economy : 4137358640, 109, 0, [555802, 119743]
business : 6078711525, 159, 0, [119743, 687791]
economy : 6402266178, 194, 1, [555802, 976870]
economy : 3946363706, 114, 5, [107417, 474237]
business : 4526390582, 45, 0, [976870, 119743]
business : 8255250359, 161, 2, [830684, 119743]
economy : 4847257404, 132, 1, [687791, 984826]
economy : 9996715321, 122, 1, [107417, 976870]
economy : 5872724218, 79, 1, [119743, 474237]
economy : 5931948343, 158, 3, [119743, 740833]
economy : 7221266848, 156, 5, [830684, 227105]
economy : 3688200177, 60, 2, [227105, 740833]
economy : 5948770800, 164, 3, [687791, 976870]
economy : 9378768694, 101, 3, [740833, 687791]
economy : 7358270506, 137, 2, [227105, 107417]
business : 2169152111, 176, 6, [984826, 555802]
business : 4900718602, 119, 9, [119743, 687791]
economy : 8950825804, 106, 0, [740833, 107417]
business : 7323880182, 179, 5, [107417, 740833]
business : 4307597245, 156, 4, [107417, 976870]
business : 1738585784, 106, 1, [740833, 107417]
economy : 5855985498, 59, 1, [976870, 107417]
economy : 4059646800, 78, 1, [555802, 984826]
economy : 5583879891, 142, 0, [976870, 830684]
business : 5658980554, 101, 9, [687791, 740833]
economy : 3402680985, 169, 1, [984826, 976870]
economy : 4901572280, 97, 7, [740833, 984826]
business : 3600943747, 109, 10, [687791, 227105]
economy : 4832360572, 164, 2, [984826, 227105]
economy : 8457731556, 135, 10, [227105, 474237]
economy : 1804289282, 60, 3, [555802, 740833]
economy : 4850622950, 190, 0, [119743, 984826]
business : 4627514659, 174, 4, [119743, 976870]
economy : 5918239828, 58, 1, [119743, 976870]
business : 3987446617, 161, 0, [555802, 107417]
business : 9669664410, 52, 3, [119743, 474237]
first : 3424996420, 178, 2, [555802, 474237]
business : 7092216266, 144, 0, [984826, 555802]
business : 8586828384, 140, 2, [687791, 830684]
economy : 5914097766, 95, 4, [830684, 687791]
luxury : 6733963177, 137, 2, [740833, 976870]
economy : 1216897407, 192, 0, [740833, 227105]
economy : 6099796160, 150, 2, [474237, 976870]
first : 2497143316, 79, 0, [107417, 830684]
economy : 8315161734, 92, 5, [687791, 227105]
economy : 6546463847, 189, 2, [119743, 474237]
economy : 3542028014, 177, 1, [687791, 555802]
business : 6429728905, 72, 1, [740833, 474237]
economy : 5039346316, 195, 0, [687791, 740833]
economy : 4654154223, 125, 2, [107417, 119743]
economy : 8962572171, 82, 2, [984826, 687791]
economy : 5157816567, 168, 1, [555802, 119743]
economy : 8923286578, 197, 3, [687791, 227105]
economy : 5668599451, 41, 0, [984826, 227105]
business : 8127554843, 142, 2, [976870, 227105]
economy : 4752285672, 140, 2, [976870, 984826]
economy : 8210702073, 79, 1, [976870, 227105]
economy : 2905605558, 81, 1, [830684, 227105]
economy : 5546892094, 90, 0, [830684, 119743]
economy : 7388996928, 86, 1, [119743, 107417]
economy : 4063149237, 104, 2, [687791, 474237]
business : 3368258230, 164, 2, [984826, 740833]
economy : 8362880804, 121, 2, [555802, 107417]
business : 9248998051, 180, 1, [984826, 976870]
economy : 7407608103, 44, 1, [107417, 555802]
economy : 8729788093, 56, 5, [830684, 687791]
economy : 3357495626, 83, 2, [107417, 474237]
economy : 6642335067, 68, 1, [107417, 555802]
economy : 1200784015, 175, 2, [119743, 740833]
economy : 2966028501, 50, 1, [555802, 119743]
economy : 9182527515, 65, 2, [687791, 830684]
business : 3828880860, 105, 2, [474237, 740833]
economy : 5633965035, 198, 2, [119743, 984826]
business : 2080509218, 80, 2, [740833, 555802]
economy : 3831679643, 62, 1, [830684, 740833]
economy : 8793335349, 116, 1, [555802, 107417]
economy : 2304573921, 77, 1, [119743, 984826]
economy : 7940793847, 138, 7, [555802, 976870]
economy : 2042377241, 172, 2, [740833, 474237]
economy : 6538391177, 101, 3, [474237, 687791]
economy : 5731746707, 153, 3, [474237, 687791]
business : 8554477024, 80, 2, [687791, 119743]
economy : 9924023699, 52, 2, [474237, 830684]
economy : 4835304587, 196, 2, [107417, 830684]
economy : 6024598488, 186, 1, [830684, 687791]
economy : 4556207268, 183, 0, [984826, 555802]
economy : 5236760190, 152, 1, [984826, 976870]
economy : 5974888061, 128, 1, [107417, 984826]
business : 2567924937, 181, 2, [976870, 107417]
economy : 2780682872, 135, 1, [474237, 227105]
business : 7813101633, 98, 1, [227105, 119743]
economy : 2837242690, 99, 1, [474237, 830684]
economy : 2562134254, 132, 6, [984826, 830684]
economy : 9462567428, 173, 3, [687791, 227105]
economy : 4415702158, 66, 1, [555802, 984826]
economy : 1743781256, 69, 1, [687791, 227105]
economy : 9245668716, 175, 1, [740833, 119743]
business : 2496156926, 106, 5, [474237, 119743]
economy : 6394904240, 180, 6, [984826, 107417]
economy : 5644185511, 116, 2, [474237, 227105]
economy : 4805810079, 185, 4, [740833, 984826]
economy : 5741371100, 102, 1, [687791, 830684]
business : 8145232240, 177, 1, [227105, 687791]
economy : 8681434151, 107, 4, [984826, 830684]
economy : 9984839644, 186, 3, [107417, 830684]
economy : 4394082370, 104, 2, [984826, 830684]
economy : 9819087066, 169, 3, [227105, 984826]
economy : 5630572713, 49, 6, [555802, 740833]
economy : 4152134498, 103, 7, [474237, 119743]
economy : 2171405263, 107, 2, [227105, 976870]
first : 1791790710, 86, 4, [976870, 740833]
economy : 9851765253, 177, 0, [976870, 474237]
economy : 8545725587, 191, 3, [555802, 119743]
economy : 2278111310, 108, 1, [474237, 107417]
economy : 2485375475, 190, 5, [830684, 976870]
business : 8593584791, 52, 8, [976870, 555802]
business : 3216066628, 45, 1, [687791, 107417]
first : 8195575333, 88, 1, [740833, 555802]
business : 2765550238, 88, 3, [474237, 555802]
business : 4981761955, 89, 2, [830684, 976870]
business : 3901066485, 127, 1, [119743, 687791]
business : 8966608287, 166, 1, [227105, 976870]
first : 6555417051, 132, 5, [976870, 227105]
economy : 6749783880, 159, 1, [555802, 107417]
luxury : 9573762470, 177, 4, [984826, 976870]
economy : 2414512286, 48, 2, [474237, 830684]
economy : 8602985200, 97, 1, [740833, 830684]
business : 5732176308, 81, 9, [984826, 555802]
business : 2475077094, 113, 0, [119743, 687791]
business : 3434990409, 100, 1, [830684, 119743]
economy : 5731109604, 107, 4, [984826, 976870]
economy : 6507635581, 107, 3, [555802, 740833]
economy : 6638962421, 84, 0, [119743, 474237]
business : 7552061365, 116, 1, [984826, 474237]
economy : 6510731203, 132, 5, [474237, 830684]
economy : 9384517730, 152, 1, [830684, 107417]
business : 1987812024, 120, 3, [474237, 830684]
economy : 8712984042, 55, 1, [227105, 555802]
economy : 8423712873, 144, 2, [555802, 687791]
economy : 6105008704, 95, 3, [687791, 976870]
business : 1956945061, 142, 2, [687791, 474237]
first : 9221201132, 59, 0, [227105, 976870]
economy : 6412622671, 83, 4, [687791, 107417]
economy : 3002492706, 175, 1, [984826, 119743]
economy : 1959507362, 162, 1, [107417, 227105]
economy : 7282479439, 130, 2, [119743, 227105]
economy : 3941601548, 55, 5, [107417, 119743]
economy : 1061378106, 168, 2, [976870, 474237]
economy : 9569625963, 94, 0, [984826, 555802]
economy : 6722179490, 200, 1, [687791, 474237]
economy : 5370289966, 178, 2, [830684, 119743]
first : 2414816140, 185, 1, [107417, 984826]
first : 3136473944, 173, 0, [687791, 107417]
business : 8940155949, 44, 0, [107417, 687791]
economy : 4228220237, 101, 2, [107417, 740833]
economy : 8543472307, 152, 1, [474237, 227105]
economy : 1634925006, 98, 1, [119743, 740833]
business : 8630161835, 131, 1, [474237, 984826]
economy : 9379845494, 151, 1, [984826, 740833]
economy : 1412557684, 70, 2, [976870, 227105]
luxury : 3755484670, 55, 0, [830684, 976870]
economy : 6645411410, 89, 2, [107417, 830684]
business : 3502698967, 108, 2, [976870, 740833]
business : 9520683827, 194, 1, [107417, 555802]
economy : 1244863136, 53, 2, [740833, 107417]
economy : 9002394669, 47, 2, [984826, 687791]
economy : 6524387228, 61, 1, [830684, 984826]
business : 6037180552, 174, 2, [830684, 107417]
business : 8469845979, 45, 0, [687791, 740833]
economy : 2568005707, 118, 1, [984826, 830684]
business : 8227648371, 61, 1, [687791, 227105]
business : 6513579430, 126, 1, [555802, 976870]
economy : 4557965290, 119, 3, [984826, 740833]
economy : 9854296478, 188, 0, [740833, 976870]
economy : 5960365352, 123, 5, [830684, 119743]
economy : 8533575968, 46, 2, [830684, 984826]
economy : 5814325376, 116, 0, [984826, 555802]
economy : 2738340703, 59, 0, [984826, 474237]
first : 6438380503, 61, 4, [119743, 687791]
economy : 5508743140, 73, 10, [984826, 227105]
economy : 5331556819, 106, 0, [555802, 976870]
economy : 6466008394, 123, 6, [976870, 555802]
economy : 5865547802, 91, 9, [687791, 830684]
first : 6903595087, 54, 3, [984826, 227105]
economy : 8732789829, 180, 2, [740833, 107417]
economy : 4086634755, 76, 2, [984826, 555802]
economy : 3385419419, 190, 0, [984826, 740833]
economy : 8629742084, 180, 2, [984826, 830684]
business : 5937297635, 135, 0, [687791, 119743]
economy : 6016800569, 93, 9, [555802, 984826]
economy : 6280126295, 155, 4, [227105, 687791]
economy : 3166434662, 190, 2, [119743, 830684]
business : 5706433931, 138, 3, [687791, 119743]
economy : 4706495903, 147, 1, [740833, 227105]
economy : 4397902503, 143, 1, [474237, 687791]
economy : 5188039685, 192, 1, [687791, 555802]
economy : 4116838968, 54, 0, [107417, 119743]
business : 9014186135, 177, 3, [119743, 227105]
business : 8548760184, 54, 6, [555802, 107417]
economy : 1209241669, 41, 1, [984826, 976870]
economy : 5358624027, 122, 3, [976870, 227105]
economy : 8610123769, 59, 1, [984826, 740833]
business : 8290625343, 60, 0, [984826, 227105]
economy : 6027926073, 146, 1, [119743, 984826]
economy : 3974176154, 130, 3, [984826, 830684]
economy : 5772279887, 74, 0, [687791, 976870]
economy : 7025047348, 197, 2, [830684, 740833]
luxury : 9267001609, 71, 4, [555802, 984826]
first : 1098260567, 138, 2, [227105, 740833]
economy : 9755245707, 170, 3, [227105, 830684]
economy : 5004362692, 131, 7, [119743, 227105]
economy : 4125193853, 179, 6, [474237, 555802]
economy : 4878776058, 181, 2, [107417, 474237]
business : 4384525205, 84, 2, [119743, 984826]
economy : 7912822468, 143, 1, [740833, 555802]
economy : 9993197940, 131, 0, [555802, 984826]
business : 4358209585, 188, 5, [984826, 107417]
economy : 3494771055, 89, 1, [830684, 227105]
economy : 3849238248, 161, 1, [119743, 555802]
business : 2073315523, 102, 1, [474237, 107417]
economy : 2092005145, 125, 1, [119743, 555802]
business : 9117385940, 198, 2, [107417, 976870]
economy : 7618988109, 109, 1, [107417, 687791]
economy : 3099168030, 101, 4, [227105, 984826]
economy : 3610352275, 59, 10, [474237, 119743]
economy : 1827991998, 145, 2, [555802, 984826]
business : 4836835899, 200, 1, [984826, 119743]
economy : 2504906644, 70, 3, [984826, 119743]
first : 1623674653, 181, 2, [119743, 107417]
economy : 3763065632, 167, 2, [830684, 107417]
economy : 1071820612, 95, 3, [555802, 830684]
business : 5522533243, 131, 1, [119743, 555802]
economy : 5311679442, 75, 1, [976870, 227105]
economy : 6288202428, 174, 1, [984826, 830684]
economy : 5200240433, 54, 1, [830684, 687791]
economy : 8255560812, 155, 1, [830684, 474237]
economy : 7794315144, 126, 1, [119743, 976870]
economy : 9578578856, 159, 2, [119743, 107417]
economy : 7169753429, 49, 3, [107417, 227105]
economy : 3760442739, 87, 1, [107417, 830684]
business : 9766695933, 44, 2, [830684, 687791]
economy : 2533658348, 113, 9, [740833, 555802]
economy : 4245925818, 178, 4, [119743, 830684]
economy : 5307458208, 168, 3, [976870, 474237]
economy : 7995640658, 170, 2, [984826, 555802]
economy : 3571296524, 169, 0, [555802, 984826]
business : 9607412875, 105, 1, [555802, 107417]
economy : 1901922839, 56, 1, [740833, 107417]
economy : 9878483593, 138, 1, [976870, 687791]
business : 3685989615, 200, 1, [555802, 984826]
economy : 4674913852, 110, 0, [474237, 984826]
economy : 3669899592, 190, 9, [227105, 555802]
economy : 9156632233, 192, 4, [119743, 687791]
luxury : 8303566844, 139, 1, [984826, 687791]
economy : 5139731992, 163, 1, [976870, 830684]
economy : 3092345207, 129, 1, [107417, 830684]
first : 1198019805, 83, 2, [474237, 740833]
economy : 5590014502, 65, 1, [474237, 107417]
economy : 3514955842, 91, 3, [830684, 740833]
business : 8210106301, 51, 2, [976870, 830684]
economy : 4795186611, 116, 2, [830684, 555802]
economy : 7441071893, 59, 1, [830684, 976870]
economy : 7388381952, 130, 1, [740833, 976870]
economy : 2681575150, 50, 9, [740833, 119743]
economy : 2665352724, 119, 3, [107417, 740833]
economy : 9563055922, 82, 2, [830684, 687791]
economy : 1158979089, 47, 2, [227105, 984826]
economy : 8546456086, 175, 0, [830684, 227105]
economy : 6457808646, 195, 0, [740833, 555802]
economy : 9860447937, 111, 0, [740833, 555802]
business : 3710473305, 155, 4, [107417, 830684]
economy : 2601940987, 162, 3, [119743, 976870]
economy : 7290877400, 122, 1, [830684, 107417]
economy : 5367009999, 98, 0, [687791, 107417]
economy : 9946400753, 74, 4, [555802, 976870]
luxury : 1202787157, 112, 4, [984826, 107417]
economy : 9773263555, 97, 2, [107417, 687791]
economy : 3254512797, 53, 1, [740833, 227105]
economy : 2089163956, 153, 2, [740833, 474237]
economy : 7515296873, 137, 5, [976870, 227105]
business : 5231051320, 71, 2, [474237, 830684]
economy : 1743161680, 112, 10, [984826, 687791]
first : 7713788483, 150, 3, [227105, 984826]
economy : 2054822346, 191, 1, [119743, 107417]
economy : 7221138827, 47, 2, [687791, 555802]
economy : 1590177507, 50, 1, [474237, 107417]
economy : 8571239060, 104, 1, [740833, 830684]
economy : 4394486833, 82, 8, [984826, 227105]
economy : 2740431467, 158, 7, [984826, 227105]
economy : 6308693188, 103, 3, [740833, 984826]
business : 3640516521, 191, 7, [555802, 740833]
luxury : 7176851733, 154, 0, [830684, 687791]
economy : 3935114494, 64, 1, [976870, 474237]
economy : 2771944288, 128, 8, [984826, 687791]
economy : 7220289048, 197, 10, [687791, 976870]
economy : 2264663777, 108, 5, [474237, 830684]
economy : 9907441234, 56, 1, [984826, 976870]
economy : 4605090309, 43, 0, [830684, 740833]
economy : 1647937066, 97, 6, [474237, 740833]
first : 1270620138, 53, 1, [474237, 740833]
business : 7046215741, 124, 0, [976870, 119743]
economy : 2983038137, 123, 10, [740833, 107417]
economy : 6088243118, 92, 2, [227105, 984826]
business : 3011547276, 44, 2, [227105, 474237]
economy : 4286291364, 72, 2, [227105, 687791]
business : 7704792036, 190, 0, [687791, 740833]
economy : 5072544548, 78, 10, [227105, 830684]
business : 9688069984, 97, 1, [107417, 119743]
economy : 2844809508, 129, 10, [687791, 119743]
