13 10 2469
9756 15075.0 15957 18648 5640
hub : 405377, -1657, 714, 43.67, 157800, 8
hub : 602366, -2905, 0, 41.47, 279000, 7
regional : 252662, -400, 2419, 75.57, 107800, 3
regional : 768071, -2620, 1868, 98.12, 140200, 4
hub : 376964, 316, 3097, 38.28, 234300, 9
major : 810348, 602, 1202, 71.61, 233250, 4
major : 621434, 2394, -148, 73.04, 227000, 6
hub : 349241, -53, -415, 55.99, 215400, 5
major : 451688, 1616, -613, 74.47, 188500, 4
major : 191771, 927, -409, 60.72, 162500, 6
economy : 3939669828, 176, 2, [376964, 349241]
economy : 7544888041, 43, 1, [349241, 621434]
economy : 2581055787, 92, 1, [349241, 405377]
economy : 5110922260, 153, 1, [451688, 768071]
economy : 7218334522, 115, 8, [376964, 768071]
first : 2821475025, 116, 2, [451688, 405377]
business : 3887323879, 58, 7, [810348, 621434]
economy : 5113080470, 49, 6, [621434, 768071]
economy : 6447117920, 140, 3, [349241, 621434]
economy : 4376586113, 51, 2, [191771, 768071]
economy : 5755222723, 111, 4, [621434, 451688]
business : 3573573499, 172, 3, [621434, 451688]
economy : 9915096847, 195, 3, [810348, 602366]
business : 2269083359, 111, 1, [602366, 252662]
business : 9595787387, 82, 9, [451688, 602366]
business : 5089388620, 169, 5, [349241, 405377]
economy : 9565330555, 125, 7, [252662, 768071]
economy : 5904723423, 126, 2, [451688, 768071]
economy : 2468378176, 52, 10, [191771, 810348]
economy : 3591558460, 105, 1, [810348, 451688]
business : 7397176727, 88, 1, [451688, 768071]
economy : 2625088426, 46, 9, [621434, 451688]
economy : 9850618740, 117, 2, [451688, 252662]
economy : 2996998875, 49, 5, [252662, 810348]
economy : 9775893589, 130, 2, [602366, 191771]
economy : 7790343504, 148, 0, [768071, 349241]
economy : 1805950083, 199, 2, [768071, 621434]
business : 6533024161, 194, 3, [405377, 252662]
economy : 2721107260, 84, 1, [451688, 349241]
business : 8630465628, 141, 5, [191771, 451688]
economy : 5240361341, 105, 2, [349241, 451688]
economy : 4692230246, 80, 0, [621434, 376964]
economy : 9084761229, 99, 1, [252662, 621434]
economy : 9983939902, 149, 1, [376964, 602366]
economy : 4513906335, 105, 1, [621434, 602366]
business : 6928462368, 170, 0, [810348, 768071]
business : 7365270509, 158, 2, [768071, 252662]
business : 2335747450, 112, 2, [376964, 191771]
business : 2728667026, 83, 1, [405377, 768071]
economy : 6441835014, 134, 2, [349241, 252662]
economy : 1496638828, 46, 4, [810348, 405377]
economy : 6261832513, 94, 0, [252662, 621434]
economy : 1928070860, 88, 2, [252662, 810348]
economy : 1754636774, 124, 1, [405377, 451688]
business : 9043440639, 108, 2, [349241, 602366]
first : 5140994405, 87, 2, [621434, 451688]
economy : 4740022303, 76, 1, [349241, 451688]
business : 6972012228, 182, 10, [621434, 405377]
economy : 7985236809, 153, 2, [405377, 376964]
economy : 6405364845, 50, 0, [810348, 405377]
business : 6210450220, 72, 2, [349241, 621434]
economy : 4967175295, 104, 0, [621434, 602366]
business : 8328132787, 50, 1, [349241, 602366]
economy : 3530840717, 51, 1, [451688, 602366]
economy : 5935460577, 159, 1, [451688, 349241]
economy : 6342214934, 132, 0, [810348, 376964]
economy : 7158272343, 55, 6, [621434, 451688]
economy : 8072569539, 152, 3, [349241, 451688]
first : 7397377232, 87, 2, [810348, 621434]
economy : 9564196494, 88, 3, [252662, 602366]
economy : 9547301216, 81, 2, [602366, 252662]
business : 3690651606, 84, 4, [349241, 252662]
economy : 6911126860, 122, 1, [376964, 252662]
economy : 9978603870, 107, 5, [191771, 252662]
business : 8504814320, 57, 1, [405377, 768071]
economy : 1595563951, 127, 1, [191771, 252662]
economy : 5011022247, 40, 1, [252662, 602366]
economy : 1471106877, 124, 1, [349241, 621434]
economy : 9594387580, 128, 1, [376964, 451688]
business : 9195127086, 51, 1, [451688, 768071]
economy : 1517808542, 169, 1, [376964, 810348]
economy : 1937073018, 147, 10, [621434, 349241]
business : 8669158022, 174, 1, [191771, 602366]
economy : 6205730083, 91, 1, [252662, 810348]
business : 5176429497, 54, 3, [451688, 810348]
economy : 9640353327, 157, 3, [621434, 191771]
business : 5027683885, 149, 1, [602366, 405377]
economy : 3285158675, 197, 0, [810348, 602366]
economy : 9384326453, 47, 1, [768071, 252662]
economy : 5406775321, 141, 8, [252662, 810348]
economy : 5696610687, 187, 3, [349241, 405377]
economy : 4872752517, 51, 3, [768071, 191771]
economy : 5435736497, 108, 3, [768071, 621434]
business : 9004585418, 80, 2, [376964, 451688]
economy : 3160733042, 67, 1, [252662, 602366]
business : 8703006412, 65, 2, [252662, 349241]
business : 1005230028, 194, 1, [810348, 349241]
economy : 8165346826, 112, 0, [252662, 349241]
economy : 4528050634, 113, 3, [810348, 602366]
business : 5118559406, 199, 7, [602366, 252662]
economy : 8728701965, 136, 0, [252662, 768071]
economy : 2667850967, 44, 3, [191771, 252662]
first : 3251534604, 116, 1, [602366, 376964]
economy : 9725532316, 96, 2, [602366, 621434]
economy : 3468223815, 77, 0, [768071, 349241]
economy : 7192664086, 66, 0, [768071, 405377]
first : 5323456666, 105, 2, [191771, 405377]
economy : 5408637701, 136, 1, [810348, 451688]
economy : 6201074795, 152, 1, [349241, 768071]
economy : 9471174326, 124, 1, [252662, 191771]
economy : 1546162616, 83, 1, [252662, 602366]
economy : 7524710059, 139, 1, [810348, 768071]
economy : 6186873114, 62, 0, [451688, 376964]
economy : 6884707508, 64, 2, [191771, 810348]
economy : 6563347899, 91, 0, [768071, 810348]
economy : 4574179023, 156, 1, [602366, 621434]
economy : 4214927311, 137, 0, [810348, 621434]
economy : 7313169464, 47, 3, [810348, 376964]
economy : 3799788110, 116, 1, [451688, 349241]
luxury : 7063266301, 58, 1, [451688, 621434]
economy : 9773608825, 129, 1, [768071, 405377]
economy : 5951831413, 142, 1, [252662, 810348]
economy : 6380283798, 157, 5, [376964, 810348]
economy : 9631987400, 109, 1, [252662, 768071]
economy : 5517673209, 193, 1, [621434, 191771]
first : 2633468677, 68, 4, [451688, 252662]
economy : 2491011517, 73, 9, [768071, 451688]
economy : 8951623253, 137, 1, [349241, 602366]
business : 6510101645, 68, 8, [252662, 810348]
economy : 4026708119, 121, 2, [191771, 376964]
economy : 6289243442, 90, 2, [191771, 405377]
economy : 3797577894, 194, 2, [376964, 621434]
economy : 6770710782, 163, 2, [768071, 252662]
economy : 8553407614, 93, 1, [191771, 810348]
economy : 6305374745, 114, 0, [405377, 810348]
economy : 7129008810, 57, 1, [191771, 349241]
business : 5588799382, 162, 3, [405377, 451688]
economy : 8003185076, 70, 4, [405377, 451688]
business : 4832796110, 45, 1, [252662, 621434]
economy : 4718578893, 112, 2, [768071, 810348]
economy : 2419339253, 88, 2, [621434, 768071]
economy : 7410995430, 94, 3, [602366, 451688]
economy : 6011770992, 87, 3, [621434, 349241]
business : 8544360661, 54, 10, [810348, 376964]
economy : 4213881095, 111, 1, [376964, 405377]
economy : 2442961062, 163, 8, [405377, 191771]
economy : 5307617927, 85, 2, [191771, 451688]
luxury : 1415688179, 82, 2, [768071, 451688]
economy : 6712843952, 158, 10, [191771, 252662]
economy : 9571497381, 43, 2, [349241, 451688]
economy : 8576086807, 79, 1, [349241, 602366]
business : 8918317572, 87, 1, [621434, 810348]
economy : 3696810365, 68, 1, [768071, 405377]
economy : 6222191239, 189, 0, [768071, 252662]
economy : 1511513233, 92, 10, [376964, 602366]
economy : 4409591465, 48, 0, [810348, 451688]
economy : 4436706916, 68, 4, [252662, 191771]
business : 1413135869, 147, 1, [349241, 376964]
business : 4172337067, 138, 1, [810348, 621434]
economy : 1441478908, 127, 8, [252662, 376964]
economy : 7266964353, 159, 0, [252662, 405377]
economy : 3758377410, 121, 1, [376964, 602366]
economy : 1209870700, 161, 4, [810348, 252662]
business : 1465028185, 174, 1, [621434, 405377]
economy : 7040056334, 115, 1, [768071, 451688]
economy : 2329874037, 129, 1, [451688, 405377]
economy : 7710126128, 75, 1, [191771, 602366]
economy : 7247061275, 116, 2, [376964, 621434]
business : 8929396659, 166, 2, [451688, 349241]
economy : 1687652274, 191, 4, [349241, 602366]
economy : 7790450316, 70, 7, [602366, 349241]
economy : 1809658485, 125, 3, [810348, 451688]
first : 2522284596, 60, 2, [376964, 768071]
economy : 8697656883, 58, 3, [349241, 451688]
economy : 8195756495, 149, 1, [405377, 349241]
first : 5226624752, 186, 2, [810348, 191771]
economy : 4327710955, 186, 2, [810348, 768071]
economy : 4602388431, 67, 1, [349241, 810348]
economy : 2471489064, 40, 2, [810348, 768071]
economy : 4121229088, 62, 2, [349241, 451688]
economy : 4202073937, 143, 1, [191771, 349241]
business : 2323819356, 61, 4, [768071, 376964]
economy : 1395637023, 162, 3, [376964, 810348]
economy : 4954832906, 159, 1, [451688, 810348]
economy : 4458432482, 119, 2, [376964, 768071]
economy : 3670103017, 147, 2, [252662, 602366]
business : 4418537057, 40, 1, [810348, 349241]
economy : 8436425340, 50, 2, [602366, 621434]
economy : 9723908513, 77, 2, [252662, 349241]
business : 7786196838, 82, 1, [349241, 451688]
first : 6000943678, 125, 2, [810348, 451688]
first : 8883025979, 102, 1, [349241, 621434]
economy : 8597713616, 45, 1, [405377, 349241]
economy : 8567532604, 60, 2, [252662, 768071]
business : 5748484979, 200, 1, [349241, 451688]
economy : 2111459514, 68, 1, [252662, 376964]
economy : 2647944931, 134, 3, [252662, 191771]
economy : 3467374072, 58, 1, [252662, 451688]
business : 1435430765, 156, 2, [602366, 349241]
economy : 2328250949, 55, 1, [621434, 252662]
economy : 4566555479, 125, 2, [810348, 376964]
economy : 6433665399, 83, 0, [810348, 621434]
economy : 8500788592, 59, 1, [349241, 451688]
business : 3769294137, 138, 1, [376964, 602366]
economy : 8210278354, 172, 0, [405377, 252662]
first : 5924759925, 101, 0, [191771, 451688]
first : 6730877309, 135, 1, [768071, 810348]
business : 5945069623, 110, 2, [602366, 810348]
economy : 7940445383, 128, 2, [810348, 252662]
economy : 7298553348, 104, 1, [602366, 376964]
economy : 3115884005, 113, 1, [602366, 376964]
economy : 4104137775, 60, 0, [252662, 768071]
economy : 6605047181, 95, 1, [768071, 810348]
business : 9892837110, 57, 3, [191771, 252662]
economy : 7415027192, 48, 5, [621434, 191771]
economy : 8009552476, 114, 2, [768071, 810348]
economy : 1438026127, 63, 2, [405377, 810348]
economy : 2117625299, 98, 6, [451688, 376964]
economy : 2359383684, 87, 2, [810348, 768071]
first : 1735025859, 105, 2, [349241, 405377]
first : 6786349250, 91, 1, [405377, 602366]
economy : 4308667885, 142, 5, [252662, 349241]
economy : 4281488553, 150, 1, [602366, 376964]
economy : 4119322528, 82, 0, [376964, 621434]
economy : 9187550356, 118, 1, [405377, 252662]
economy : 8332254455, 117, 3, [191771, 349241]
economy : 5226962282, 42, 1, [602366, 405377]
economy : 6080600805, 89, 1, [451688, 810348]
first : 3713271508, 62, 7, [252662, 349241]
business : 1289343759, 197, 1, [621434, 768071]
economy : 5373418363, 151, 3, [768071, 405377]
economy : 8186566377, 126, 3, [252662, 376964]
economy : 4285079329, 73, 2, [405377, 349241]
economy : 4086191938, 172, 2, [768071, 810348]
economy : 5816655995, 42, 0, [621434, 602366]
economy : 7031768420, 108, 5, [602366, 768071]
business : 5744886302, 106, 9, [405377, 621434]
economy : 3372646565, 51, 1, [349241, 768071]
economy : 8491548141, 154, 2, [376964, 451688]
economy : 1621135627, 190, 0, [810348, 602366]
economy : 8866535255, 46, 1, [810348, 768071]
economy : 7198235822, 52, 4, [602366, 376964]
economy : 7647082684, 143, 4, [602366, 451688]
economy : 3114830846, 108, 0, [191771, 602366]
economy : 2833009393, 93, 3, [768071, 349241]
economy : 2515847935, 92, 0, [768071, 451688]
luxury : 9767727046, 53, 2, [602366, 376964]
economy : 6023190032, 118, 0, [451688, 602366]
economy : 2221432579, 101, 4, [349241, 405377]
business : 7086970773, 99, 6, [405377, 810348]
economy : 6532097479, 44, 1, [451688, 405377]
economy : 7920561253, 164, 1, [191771, 621434]
economy : 7568378050, 198, 2, [376964, 349241]
luxury : 9857378971, 142, 4, [252662, 376964]
economy : 5516591790, 70, 6, [768071, 252662]
economy : 5964663165, 140, 1, [451688, 349241]
economy : 5579859427, 142, 2, [252662, 405377]
business : 5004482985, 189, 1, [405377, 810348]
business : 6739477677, 127, 1, [349241, 451688]
economy : 4393707443, 45, 3, [191771, 602366]
first : 6276900713, 69, 2, [191771, 768071]
business : 5594487349, 120, 7, [376964, 349241]
economy : 3700746576, 56, 7, [349241, 621434]
economy : 2684186826, 110, 2, [376964, 191771]
economy : 1336714126, 178, 3, [405377, 376964]
business : 6855688505, 58, 2, [451688, 191771]
economy : 7474801933, 179, 2, [768071, 810348]
luxury : 4928917409, 200, 1, [376964, 451688]
economy : 4813707226, 200, 0, [191771, 451688]
business : 5601627944, 52, 0, [405377, 252662]
economy : 3383161969, 147, 2, [768071, 349241]
economy : 9270513496, 72, 3, [602366, 191771]
first : 7992153157, 105, 6, [376964, 349241]
first : 9077971927, 72, 1, [810348, 376964]
luxury : 4583894187, 46, 8, [768071, 621434]
economy : 6059241128, 93, 2, [810348, 602366]
business : 8311974120, 113, 1, [405377, 602366]
economy : 4142859405, 75, 0, [405377, 191771]
economy : 5123254920, 169, 5, [376964, 768071]
economy : 5302803752, 163, 8, [376964, 451688]
economy : 9137153000, 90, 2, [602366, 810348]
economy : 1256444300, 86, 3, [376964, 349241]
economy : 6471265465, 106, 4, [451688, 252662]
economy : 9744117277, 146, 1, [768071, 252662]
first : 2023655015, 83, 2, [252662, 376964]
economy : 5300953446, 141, 0, [621434, 768071]
economy : 2746759307, 153, 0, [810348, 376964]
economy : 7371557819, 92, 6, [252662, 602366]
first : 3527876937, 90, 3, [810348, 621434]
business : 3756479932, 113, 3, [451688, 191771]
business : 6865870014, 74, 1, [621434, 252662]
business : 7956041801, 195, 3, [621434, 376964]
economy : 6197528376, 97, 7, [191771, 621434]
economy : 8901688271, 59, 5, [451688, 621434]
business : 5401807022, 105, 2, [191771, 252662]
economy : 2593352038, 155, 5, [191771, 451688]
luxury : 9336619742, 139, 1, [252662, 349241]
economy : 6787406476, 190, 0, [376964, 621434]
business : 2263597335, 157, 3, [405377, 252662]
economy : 4985001373, 52, 3, [376964, 810348]
economy : 1262791610, 124, 3, [810348, 602366]
first : 2681466749, 196, 1, [602366, 191771]
business : 3438755100, 187, 3, [602366, 451688]
economy : 6456802196, 77, 1, [405377, 191771]
first : 5844166061, 54, 1, [621434, 451688]
first : 2031523411, 50, 0, [621434, 191771]
economy : 1409628391, 72, 1, [191771, 451688]
economy : 5509819018, 135, 0, [405377, 451688]
economy : 3543585039, 56, 4, [451688, 405377]
economy : 5206820645, 121, 1, [602366, 349241]
economy : 1700710700, 75, 2, [602366, 405377]
economy : 5503069763, 177, 0, [810348, 252662]
business : 9038773175, 145, 0, [451688, 349241]
economy : 6848745063, 140, 3, [810348, 252662]
economy : 5673431491, 114, 2, [451688, 252662]
first : 8569910239, 41, 1, [621434, 191771]
business : 2415099776, 178, 2, [810348, 602366]
business : 4859897329, 148, 2, [405377, 768071]
economy : 2016615771, 118, 5, [451688, 405377]
economy : 5334965552, 184, 0, [810348, 191771]
economy : 8502000489, 158, 3, [191771, 810348]
economy : 7989694562, 188, 0, [376964, 621434]
economy : 5796173127, 181, 2, [376964, 451688]
business : 8442439753, 162, 2, [349241, 405377]
business : 4401441003, 45, 1, [252662, 191771]
economy : 3283109295, 189, 0, [252662, 349241]
economy : 1660369838, 141, 4, [768071, 191771]
economy : 3345625670, 155, 2, [810348, 451688]
first : 3657533177, 177, 8, [768071, 349241]
economy : 4545222656, 85, 1, [191771, 405377]
economy : 1384224333, 126, 0, [621434, 810348]
first : 7672133864, 67, 0, [252662, 191771]
economy : 1376328204, 179, 5, [252662, 191771]
economy : 1881054621, 106, 3, [252662, 451688]
economy : 6468336104, 64, 1, [405377, 376964]
economy : 5719141374, 161, 4, [349241, 621434]
economy : 7684605418, 85, 2, [621434, 252662]
business : 2780310896, 59, 0, [621434, 405377]
economy : 4493526747, 81, 3, [621434, 349241]
economy : 3361113318, 59, 0, [621434, 602366]
economy : 9442004882, 159, 2, [349241, 602366]
business : 5814433427, 58, 1, [376964, 349241]
first : 4322990818, 77, 1, [349241, 621434]
economy : 9384739987, 113, 9, [349241, 191771]
economy : 3828459807, 164, 2, [621434, 810348]
economy : 7978641347, 153, 0, [376964, 349241]
economy : 1551588764, 112, 3, [602366, 810348]
economy : 9157970997, 99, 2, [768071, 621434]
economy : 1568166866, 104, 2, [621434, 602366]
business : 6058765382, 158, 2, [252662, 376964]
economy : 6172339416, 86, 0, [349241, 451688]
economy : 9594852698, 122, 2, [621434, 252662]
first : 1089647563, 87, 1, [621434, 376964]
economy : 7442316445, 131, 1, [602366, 451688]
