5 144 2928
12330 4932 9450 122940 4360
hub : 118815, 10198, 4722, 39.38, 162300, 3
regional : 721227, 10715, -15801, 106.81, 108200, 1
regional : 296567, 15034, -13666, 76.34, 152600, 1
regional : 511071, 25310, -13395, 71.17, 124400, 2
regional : 318068, 20699, -11353, 89.21, 137200, 1
regional : 886195, 17417, -22985, 73.92, 178600, 2
regional : 268738, 19162, -22741, 82.72, 199200, 1
regional : 439416, 16028, -26155, 72.82, 194600, 1
regional : 325168, 12859, -33883, 71.61, 115600, 2
regional : 548787, 13568, -38129, 107.47, 184600, 2
regional : 579605, 26938, -34200, 81.4, 194200, 2
regional : 352848, 25538, -35556, 83.05, 167400, 1
regional : 143040, 24702, -33580, 74.47, 117800, 1
regional : 517029, 25671, -32394, 94.27, 171400, 1
regional : 739569, 28590, -33035, 88.44, 178600, 1
regional : 467314, 33840, -30448, 86.46, 159600, 2
regional : 472751, 36197, -27197, 82.17, 184800, 1
regional : 656588, 37483, -27354, 74.14, 130400, 1
regional : 445259, 38666, -28613, 108.68, 185600, 1
regional : 921211, 31307, -21579, 67.54, 107800, 1
regional : 159265, 34280, -22930, 98.12, 157200, 1
regional : 652045, 34912, -19533, 94.71, 190000, 2
regional : 979877, 32776, -20824, 100.76, 191200, 1
regional : 476384, 36923, -8964, 102.19, 175800, 2
regional : 213410, 42319, -9831, 68.86, 123400, 1
regional : 705769, 40827, -9442, 90.97, 199000, 2
regional : 787035, 38146, -7485, 100.43, 102000, 2
regional : 458669, 40618, -8069, 90.75, 127400, 1
regional : 992458, 48365, -14160, 109.56, 182000, 2
regional : 246900, 53496, -15944, 80.74, 149600, 1
regional : 663532, 50190, -13266, 100.21, 183400, 1
regional : 463306, 6007, 15336, 95.04, 122200, 1
regional : 184703, 6098, 16368, 74.47, 182600, 1
regional : 932468, 7051, 24003, 90.31, 149000, 1
regional : 996987, 16094, 22051, 71.39, 156800, 1
regional : 253499, 13343, 21315, 103.07, 169600, 1
regional : 889320, 13554, 19691, 92.51, 147600, 2
regional : 251087, 12116, 26244, 81.4, 101000, 1
regional : 114710, -997, 9406, 71.28, 106000, 1
regional : 668959, -10079, 23544, 72.05, 115400, 2
regional : 174049, -10082, 19764, 77.44, 175400, 2
regional : 933253, -6748, 22007, 67.76, 114400, 2
regional : 993537, -7512, 22947, 108.68, 151400, 1
regional : 839674, -16278, 16149, 75.13, 125800, 1
regional : 749691, -14009, 18100, 98.01, 185200, 1
regional : 514213, -16275, 12597, 73.37, 116000, 1
regional : 631850, -12444, 18259, 79.64, 103800, 2
regional : 243260, -14575, 15798, 100.21, 169200, 1
regional : 771542, -18188, 1326, 75.35, 168000, 1
regional : 445290, -21737, 9429, 71.94, 162800, 1
regional : 680007, -22733, 12104, 95.37, 139000, 1
regional : 468335, -20593, 13214, 86.13, 165600, 2
regional : 889305, -5229, 524, 103.51, 159400, 2
regional : 347980, -1139, 1194, 73.15, 112200, 1
regional : 386296, -3516, 2198, 92.07, 149400, 2
regional : 223992, 9029, -6541, 104.39, 143800, 2
regional : 532416, 6347, -4818, 80.19, 108400, 1
regional : 461110, 8262, -1885, 101.75, 196400, 2
regional : 813159, 7395, -8454, 73.04, 112000, 2
regional : 244853, 4396, -6788, 84.81, 119800, 2
regional : 196602, 19318, -10911, 69.96, 164800, 2
regional : 520222, 13913, -11976, 77.99, 131600, 1
regional : 111875, 17972, -12201, 95.48, 151200, 2
regional : 703880, 16987, -15666, 75.46, 154400, 1
regional : 814277, 17935, -14117, 78.98, 115800, 2
regional : 495552, 20354, -22069, 80.19, 179200, 2
regional : 101102, 20677, -19468, 99.33, 150800, 1
regional : 530551, 21264, -20997, 102.19, 128800, 1
regional : 232866, 24252, -22454, 109.67, 104800, 1
regional : 834597, 31100, -18984, 76.23, 152400, 1
regional : 577242, 29264, -17546, 109.45, 157200, 1
regional : 970841, 26440, -19654, 94.16, 153600, 2
regional : 388855, 31366, -17866, 85.58, 134800, 1
regional : 814958, 11547, -23652, 109.78, 134200, 1
regional : 570865, 29895, -29030, 70.29, 127600, 1
regional : 213038, 29030, -29796, 105.6, 188800, 2
regional : 442418, 31795, -27866, 67.87, 178800, 2
regional : 412059, 32176, -29825, 67.65, 195200, 1
regional : 458353, 40500, -38872, 71.61, 117600, 2
regional : 735545, 38880, -35083, 76.23, 106000, 2
regional : 242522, 36318, -34757, 103.62, 107400, 1
regional : 467306, 36784, -20961, 71.39, 172000, 2
regional : 558248, 41002, -35071, 78.54, 158800, 1
regional : 320956, 44974, -33915, 102.3, 122200, 1
regional : 914110, 46398, -35322, 86.46, 179800, 1
regional : 871879, 47325, -14868, 67.54, 167800, 2
regional : 972920, 51957, -6854, 74.03, 176000, 2
regional : 453526, 53088, -7352, 102.52, 187800, 1
regional : 274327, 51067, -6306, 98.67, 112200, 2
business : 8122859377, 161, 3, [118815, 664949]
economy : 6896335630, 148, 0, [707174, 453718]
economy : 1317184720, 62, 1, [146273, 224063]
economy : 6680044716, 45, 7, [785484, 598151]
economy : 5795890100, 61, 3, [535877, 707174]
business : 2703028264, 176, 1, [224063, 110455]
business : 4391222412, 182, 1, [505609, 453718]
economy : 3336064702, 52, 1, [246253, 598151]
business : 8027557129, 84, 0, [453718, 505609]
business : 8291629800, 125, 9, [522419, 785484]
business : 9133419285, 95, 0, [505609, 664949]
economy : 9716965686, 90, 2, [453718, 478446]
economy : 6579374545, 61, 4, [535877, 522419]
business : 7277327798, 187, 1, [146273, 598151]
economy : 1463963913, 180, 5, [598151, 785484]
business : 6549574640, 61, 3, [505609, 146273]
economy : 6244356475, 94, 1, [775884, 453718]
economy : 2609091760, 200, 1, [522419, 664949]
economy : 9918492417, 96, 1, [224063, 785484]
economy : 5350656511, 92, 1, [505609, 785484]
economy : 6677688605, 131, 1, [664949, 478446]
economy : 4732201345, 53, 9, [118815, 224063]
business : 1223950258, 119, 1, [478446, 146273]
economy : 6727262914, 152, 1, [453718, 118815]
economy : 5515514656, 99, 2, [707174, 224063]
economy : 5716190680, 62, 1, [775884, 522419]
economy : 9723936952, 51, 2, [453718, 146273]
economy : 1782032256, 181, 2, [535877, 707174]
economy : 8919847343, 188, 3, [118815, 505609]
economy : 2521899158, 83, 0, [535877, 453718]
business : 6915039099, 47, 1, [664949, 478446]
business : 7734238627, 170, 2, [146273, 785484]
economy : 1708119420, 117, 0, [453718, 505609]
economy : 1642773594, 99, 1, [775884, 522419]
economy : 5084610596, 135, 2, [785484, 224063]
economy : 6016459520, 167, 10, [775884, 785484]
economy : 2063721765, 75, 0, [775884, 146273]
business : 5610296462, 63, 2, [146273, 785484]
economy : 6177964558, 60, 1, [664949, 775884]
business : 3993203625, 43, 1, [118815, 146273]
business : 8566686791, 132, 2, [664949, 505609]
economy : 7851401549, 97, 5, [535877, 664949]
economy : 3180051042, 84, 2, [110455, 664949]
business : 1945961294, 167, 2, [505609, 246253]
business : 2383297718, 99, 1, [453718, 246253]
economy : 4037304549, 91, 2, [478446, 598151]
business : 7304784135, 48, 0, [246253, 785484]
economy : 5533507958, 122, 2, [707174, 224063]
business : 7250675269, 199, 1, [453718, 598151]
economy : 3108257607, 87, 2, [224063, 522419]
economy : 3392757032, 197, 1, [453718, 707174]
economy : 2676733164, 142, 5, [785484, 775884]
economy : 9830580110, 40, 2, [246253, 505609]
economy : 3760743587, 107, 3, [118815, 775884]
economy : 8699894682, 141, 5, [775884, 505609]
economy : 5178531165, 53, 2, [535877, 505609]
economy : 1064215856, 167, 2, [146273, 118815]
economy : 7427494813, 178, 3, [598151, 146273]
business : 1860228180, 105, 2, [522419, 118815]
business : 9476231504, 88, 1, [246253, 664949]
business : 2321882372, 111, 3, [707174, 664949]
economy : 2285937928, 118, 1, [785484, 110455]
economy : 4558043244, 57, 4, [224063, 707174]
economy : 4715201307, 140, 2, [118815, 453718]
economy : 5519775104, 128, 5, [598151, 775884]
economy : 6476883625, 101, 2, [598151, 785484]
economy : 4815419494, 53, 0, [478446, 118815]
economy : 7162770380, 149, 1, [535877, 505609]
business : 1856961504, 145, 2, [224063, 707174]
business : 8217804395, 131, 1, [146273, 453718]
economy : 7319277619, 44, 2, [146273, 224063]
economy : 6218701410, 200, 0, [110455, 146273]
business : 8748693321, 73, 0, [146273, 785484]
business : 8048862524, 139, 0, [535877, 522419]
economy : 7293088948, 69, 2, [522419, 707174]
business : 3728968639, 144, 1, [224063, 598151]
economy : 3136951152, 79, 1, [224063, 246253]
first : 9528926424, 176, 0, [598151, 522419]
economy : 3336980355, 83, 2, [775884, 707174]
economy : 4652307771, 126, 1, [118815, 224063]
economy : 1998976598, 119, 2, [478446, 535877]
business : 3392803087, 162, 5, [146273, 224063]
economy : 9936631654, 179, 0, [110455, 505609]
business : 2307377629, 137, 2, [522419, 146273]
economy : 1062133449, 65, 1, [110455, 598151]
business : 2941040072, 107, 1, [535877, 118815]
economy : 7514033389, 126, 0, [246253, 598151]
economy : 4070211394, 108, 3, [224063, 775884]
economy : 6262165188, 73, 0, [246253, 146273]
economy : 6453890393, 43, 0, [246253, 785484]
economy : 3750873863, 127, 5, [246253, 118815]
economy : 4631270716, 113, 0, [453718, 246253]
economy : 9889459685, 40, 0, [775884, 118815]
economy : 1580705265, 169, 1, [146273, 505609]
business : 1595223542, 73, 1, [535877, 478446]
economy : 1100936919, 102, 1, [775884, 453718]
business : 2738077842, 51, 2, [707174, 110455]
business : 4970120618, 165, 1, [707174, 478446]
economy : 5065058533, 71, 10, [664949, 785484]
economy : 8880173489, 122, 5, [478446, 535877]
economy : 8697487974, 47, 0, [505609, 664949]
economy : 9856815781, 119, 0, [478446, 535877]
business : 1134749966, 119, 6, [453718, 146273]
economy : 4083821678, 71, 2, [707174, 453718]
business : 7707958399, 158, 4, [707174, 664949]
business : 7241248024, 125, 1, [598151, 146273]
business : 7942030728, 74, 2, [775884, 118815]
business : 8566566167, 104, 1, [598151, 785484]
business : 6411603513, 109, 1, [110455, 707174]
economy : 2026696975, 42, 1, [118815, 453718]
economy : 5718813261, 101, 1, [110455, 505609]
economy : 9679121437, 90, 1, [110455, 598151]
economy : 9703350626, 166, 1, [522419, 785484]
business : 8736342342, 194, 4, [598151, 478446]
economy : 7908682197, 192, 2, [598151, 110455]
economy : 8869275845, 171, 1, [146273, 224063]
economy : 2661815250, 122, 1, [522419, 505609]
economy : 1013646304, 77, 4, [453718, 522419]
economy : 8298656077, 87, 2, [664949, 707174]
economy : 5735709380, 117, 1, [224063, 478446]
economy : 7927846408, 140, 1, [598151, 505609]
economy : 8095487445, 154, 0, [775884, 785484]
economy : 7452469920, 99, 1, [505609, 522419]
economy : 3276262914, 124, 2, [535877, 478446]
economy : 5537287679, 156, 2, [146273, 118815]
economy : 1413185928, 149, 1, [785484, 453718]
economy : 8634425104, 190, 5, [664949, 775884]
business : 2121893060, 168, 2, [146273, 707174]
economy : 4257168835, 66, 1, [535877, 118815]
business : 5915090025, 170, 5, [598151, 453718]
economy : 2071717078, 88, 0, [478446, 785484]
economy : 5464422932, 199, 4, [505609, 224063]
economy : 6381589487, 148, 9, [775884, 664949]
business : 2792988452, 165, 3, [224063, 478446]
economy : 6979806410, 189, 1, [146273, 522419]
economy : 5255833584, 47, 2, [785484, 478446]
economy : 6762595067, 136, 6, [110455, 246253]
business : 4997883418, 120, 1, [707174, 224063]
business : 4671345862, 45, 0, [146273, 522419]
economy : 8203311072, 86, 2, [785484, 478446]
economy : 5013989669, 81, 1, [505609, 707174]
economy : 1607489683, 172, 1, [110455, 118815]
economy : 6891631326, 104, 1, [110455, 664949]
economy : 7600820658, 90, 2, [707174, 535877]
economy : 3269915387, 82, 1, [478446, 246253]
economy : 4685724331, 171, 2, [775884, 110455]
economy : 5160524215, 114, 6, [664949, 707174]
economy : 9566657410, 156, 2, [664949, 775884]
economy : 1738646023, 198, 0, [522419, 478446]
economy : 7093098880, 155, 2, [505609, 522419]
economy : 6682326903, 136, 3, [224063, 535877]
economy : 1363827523, 156, 9, [785484, 598151]
business : 5244532291, 123, 3, [664949, 707174]
economy : 5777795250, 75, 2, [535877, 478446]
economy : 1513517031, 108, 2, [522419, 478446]
economy : 1316268943, 167, 5, [707174, 246253]
economy : 7685056505, 95, 0, [535877, 478446]
business : 4708241981, 72, 6, [146273, 785484]
economy : 8733665265, 43, 1, [246253, 478446]
economy : 6214135784, 91, 1, [522419, 505609]
economy : 2212798440, 197, 1, [224063, 478446]
economy : 1572423950, 149, 2, [146273, 110455]
business : 6616440965, 73, 3, [522419, 707174]
economy : 3957060107, 91, 0, [505609, 535877]
economy : 1599247605, 186, 2, [246253, 775884]
business : 1521276832, 140, 10, [535877, 453718]
business : 2606508292, 197, 3, [246253, 478446]
economy : 7276744748, 108, 0, [505609, 522419]
economy : 4692232650, 146, 2, [522419, 110455]
economy : 4568825593, 87, 3, [246253, 224063]
economy : 2642887717, 54, 4, [505609, 535877]
economy : 5094456822, 55, 1, [522419, 505609]
economy : 9956183504, 143, 4, [707174, 246253]
economy : 9901040427, 154, 2, [505609, 598151]
economy : 4928375040, 133, 4, [707174, 110455]
economy : 4756559587, 188, 8, [775884, 110455]
economy : 1261203966, 181, 2, [146273, 775884]
economy : 2984863136, 91, 2, [453718, 664949]
business : 2586916011, 197, 1, [707174, 598151]
business : 9679597693, 92, 8, [785484, 535877]
economy : 2862341168, 110, 0, [598151, 522419]
economy : 1080693801, 55, 2, [664949, 246253]
economy : 9786141585, 47, 1, [505609, 535877]
business : 3486538296, 71, 4, [664949, 535877]
economy : 9707921878, 100, 10, [522419, 246253]
business : 2378794593, 52, 10, [664949, 146273]
economy : 9541819529, 50, 2, [522419, 478446]
business : 3940909036, 111, 2, [118815, 478446]
first : 1542394596, 186, 1, [478446, 453718]
economy : 5209296731, 172, 2, [224063, 598151]
economy : 7950417376, 92, 4, [478446, 110455]
economy : 7762030496, 98, 0, [110455, 664949]
business : 2047680636, 74, 2, [146273, 707174]
economy : 7793223414, 181, 3, [775884, 246253]
economy : 9845192869, 183, 2, [664949, 535877]
economy : 2073805812, 75, 4, [775884, 453718]
economy : 7833503296, 106, 1, [146273, 775884]
business : 9506440129, 134, 6, [224063, 785484]
economy : 5108072489, 87, 5, [453718, 118815]
economy : 2100359425, 93, 5, [146273, 535877]
economy : 2415251490, 123, 0, [598151, 707174]
business : 2441093318, 123, 2, [478446, 118815]
economy : 7824205606, 107, 6, [110455, 478446]
business : 2818409805, 72, 1, [246253, 146273]
economy : 7657110283, 92, 1, [775884, 522419]
economy : 5321134024, 151, 0, [785484, 535877]
business : 9000480544, 122, 0, [224063, 598151]
economy : 8985298529, 85, 1, [505609, 785484]
economy : 4652707548, 108, 2, [598151, 664949]
economy : 7272813113, 196, 1, [224063, 478446]
economy : 1554622022, 133, 2, [707174, 505609]
business : 9826456012, 169, 0, [775884, 246253]
business : 2067611639, 116, 1, [505609, 118815]
economy : 7394522191, 106, 5, [453718, 246253]
economy : 8288237575, 191, 2, [785484, 535877]
business : 9760823004, 56, 6, [505609, 664949]
business : 1576335912, 87, 3, [775884, 535877]
business : 9731885734, 95, 2, [453718, 775884]
economy : 5445999204, 82, 1, [664949, 146273]
economy : 3464679263, 161, 5, [110455, 505609]
economy : 1028603368, 199, 5, [707174, 522419]
economy : 6863156265, 157, 1, [775884, 453718]
economy : 5759903677, 111, 2, [535877, 246253]
economy : 7999669915, 150, 0, [146273, 664949]
economy : 5901823040, 43, 1, [775884, 478446]
economy : 2146882126, 48, 2, [110455, 478446]
business : 5623482212, 153, 3, [707174, 118815]
economy : 5275402589, 68, 0, [246253, 453718]
economy : 9350638588, 172, 2, [478446, 246253]
business : 9098151686, 105, 4, [522419, 118815]
business : 6791797869, 132, 3, [598151, 246253]
business : 2163712375, 110, 0, [453718, 785484]
economy : 1937494326, 138, 1, [110455, 118815]
economy : 5095861262, 43, 2, [146273, 535877]
economy : 3582348597, 193, 0, [246253, 775884]
economy : 8166364304, 118, 2, [146273, 707174]
economy : 3711064158, 43, 0, [146273, 224063]
economy : 8461684637, 52, 3, [707174, 598151]
economy : 6843633876, 159, 0, [110455, 535877]
economy : 5807941040, 119, 5, [453718, 146273]
business : 8116871399, 78, 2, [598151, 707174]
economy : 7899063667, 85, 4, [707174, 785484]
economy : 5335253101, 188, 2, [522419, 246253]
economy : 8963378196, 167, 1, [535877, 118815]
economy : 5486222429, 174, 2, [598151, 246253]
first : 9146412204, 100, 4, [453718, 785484]
economy : 1923406522, 60, 1, [478446, 224063]
business : 2663263689, 79, 1, [522419, 598151]
economy : 5630624606, 197, 1, [246253, 535877]
business : 2483574931, 118, 0, [246253, 598151]
business : 3157735003, 68, 3, [535877, 664949]
first : 4830570366, 132, 2, [478446, 664949]
economy : 9001171373, 113, 1, [453718, 146273]
economy : 4881237852, 174, 1, [110455, 453718]
business : 7792343886, 138, 8, [505609, 785484]
economy : 5814940035, 109, 4, [146273, 775884]
economy : 5523192663, 78, 1, [478446, 775884]
economy : 7207750922, 78, 1, [110455, 707174]
business : 1908879139, 197, 2, [453718, 505609]
business : 7833356032, 116, 3, [505609, 146273]
economy : 8630800877, 148, 2, [505609, 664949]
economy : 2901209411, 142, 0, [246253, 224063]
business : 8749004678, 42, 9, [146273, 598151]
economy : 9627362551, 189, 10, [598151, 775884]
business : 1747181535, 100, 4, [146273, 707174]
business : 5572486251, 152, 8, [707174, 664949]
economy : 5235810187, 94, 3, [598151, 246253]
business : 1923012463, 185, 5, [664949, 478446]
economy : 9575455946, 122, 2, [110455, 522419]
economy : 6953626810, 155, 2, [785484, 775884]
economy : 7670103165, 71, 1, [146273, 224063]
business : 1557125834, 81, 6, [478446, 707174]
economy : 5380108880, 178, 7, [707174, 118815]
economy : 7027019562, 56, 3, [246253, 598151]
economy : 9822763387, 57, 2, [664949, 110455]
economy : 9281062486, 75, 1, [707174, 664949]
economy : 6542323753, 92, 2, [110455, 664949]
business : 9652942779, 197, 1, [505609, 118815]
economy : 2966484938, 51, 1, [118815, 224063]
economy : 9285108313, 59, 2, [785484, 224063]
economy : 6269156436, 87, 0, [664949, 707174]
economy : 6701479400, 146, 1, [775884, 505609]
economy : 3173614619, 194, 2, [535877, 110455]
economy : 9024831319, 147, 2, [118815, 224063]
economy : 8320932596, 44, 0, [522419, 775884]
economy : 2552183610, 151, 1, [110455, 478446]
economy : 3623173175, 134, 2, [478446, 664949]
economy : 1684029696, 148, 2, [224063, 478446]
economy : 6082897331, 97, 1, [453718, 505609]
business : 5760580227, 147, 3, [505609, 775884]
economy : 7116209958, 126, 1, [110455, 246253]
business : 1296360750, 139, 1, [664949, 775884]
economy : 8294901925, 97, 3, [505609, 453718]
business : 7820514626, 123, 8, [478446, 775884]
economy : 3114309455, 172, 0, [110455, 118815]
economy : 1203328606, 63, 2, [118815, 522419]
economy : 7567383326, 71, 3, [707174, 246253]
economy : 3343738909, 57, 2, [522419, 246253]
business : 3546803026, 112, 6, [505609, 118815]
economy : 1646249354, 47, 10, [110455, 453718]
business : 8480037519, 88, 1, [598151, 707174]
economy : 7163390616, 133, 4, [785484, 775884]
economy : 3527116726, 136, 3, [224063, 146273]
economy : 8660850878, 163, 1, [664949, 535877]
economy : 6923252108, 177, 2, [598151, 785484]
business : 6733604496, 141, 2, [598151, 118815]
economy : 8304572982, 133, 1, [535877, 707174]
economy : 6225817179, 59, 2, [453718, 535877]
business : 8652833359, 194, 2, [224063, 118815]
economy : 2830442789, 110, 6, [664949, 110455]
economy : 9184684697, 199, 1, [505609, 535877]
economy : 8358570704, 175, 4, [522419, 664949]
economy : 2601481923, 172, 1, [246253, 664949]
economy : 1723416159, 181, 4, [246253, 505609]
economy : 2470138957, 161, 2, [246253, 118815]
business : 7649994147, 194, 4, [478446, 707174]
business : 2998713782, 108, 8, [110455, 224063]
economy : 5498968581, 43, 2, [146273, 478446]
economy : 5878257529, 47, 7, [785484, 505609]
economy : 3007829926, 46, 2, [118815, 478446]
first : 4417364217, 159, 1, [246253, 505609]
economy : 4232318515, 40, 1, [522419, 478446]
economy : 5995980118, 134, 8, [664949, 478446]
economy : 8908541437, 55, 1, [246253, 224063]
economy : 4731971124, 78, 2, [598151, 146273]
economy : 1024298441, 145, 2, [478446, 505609]
business : 4951026460, 136, 0, [598151, 535877]
economy : 6167268063, 156, 2, [118815, 146273]
economy : 6784788977, 178, 6, [478446, 707174]
economy : 8214068663, 68, 1, [110455, 775884]
economy : 9497152753, 189, 0, [522419, 453718]
economy : 1681496269, 122, 2, [224063, 535877]
economy : 2561210457, 183, 1, [522419, 118815]
economy : 4191280958, 142, 0, [118815, 535877]
economy : 6233252724, 78, 2, [535877, 246253]
business : 7626430979, 102, 4, [224063, 598151]
economy : 5881557425, 75, 1, [664949, 224063]
economy : 9782252548, 95, 0, [775884, 522419]
economy : 9853380691, 198, 2, [785484, 598151]
economy : 1021384068, 157, 2, [535877, 598151]
economy : 5400250976, 97, 1, [453718, 246253]
business : 6110520645, 200, 2, [224063, 118815]
business : 6279308399, 46, 5, [453718, 707174]
economy : 6317192174, 43, 2, [598151, 785484]
economy : 7114656130, 96, 6, [535877, 224063]
economy : 4578429424, 144, 1, [224063, 775884]
business : 6355288315, 114, 5, [505609, 224063]
business : 8148636712, 61, 0, [146273, 453718]
economy : 7458614240, 142, 0, [707174, 522419]
economy : 9482211398, 154, 1, [110455, 707174]
business : 9849699070, 170, 1, [146273, 453718]
economy : 4694178605, 137, 0, [453718, 707174]
business : 6123822139, 147, 2, [146273, 785484]
economy : 3225003789, 186, 0, [707174, 118815]
economy : 4466408007, 92, 2, [707174, 785484]
economy : 1939810240, 43, 2, [598151, 453718]
economy : 2476124608, 176, 2, [453718, 246253]
business : 2192660743, 115, 3, [224063, 453718]
business : 1131554516, 86, 1, [598151, 224063]
business : 1062602850, 87, 2, [707174, 522419]
economy : 6783052370, 163, 1, [110455, 505609]
economy : 5161644380, 188, 1, [775884, 453718]
economy : 2132926773, 83, 2, [664949, 775884]
business : 1459532540, 158, 2, [505609, 598151]
economy : 6790842546, 199, 1, [664949, 598151]
economy : 7285988815, 59, 3, [785484, 110455]
business : 2770908505, 106, 1, [775884, 246253]
economy : 2001294751, 127, 1, [522419, 110455]
business : 5685995055, 112, 0, [785484, 118815]
economy : 7474719882, 87, 2, [224063, 478446]
business : 9900375562, 114, 2, [246253, 664949]
economy : 6505366499, 141, 9, [598151, 535877]
business : 9980663916, 168, 4, [110455, 785484]
business : 1383255849, 109, 4, [478446, 246253]
economy : 9647926973, 141, 2, [707174, 146273]
first : 1974479924, 115, 0, [775884, 505609]
economy : 3809484839, 106, 3, [522419, 478446]
economy : 8555527857, 177, 0, [775884, 785484]
economy : 6848681073, 111, 1, [110455, 535877]
business : 6608809172, 139, 2, [505609, 110455]
economy : 3532833490, 71, 1, [478446, 598151]
economy : 1981080679, 128, 8, [118815, 246253]
economy : 5118093550, 198, 1, [246253, 453718]
economy : 1892021429, 160, 3, [707174, 224063]
economy : 6026628712, 127, 2, [598151, 110455]
economy : 9703436088, 125, 1, [707174, 224063]
economy : 9835596368, 68, 1, [146273, 535877]
economy : 7406860381, 78, 9, [598151, 775884]
business : 9522970624, 83, 0, [785484, 224063]
economy : 4791546021, 47, 4, [110455, 535877]
economy : 9578969418, 79, 1, [535877, 110455]
economy : 5978355286, 158, 0, [246253, 118815]
economy : 2431871773, 44, 0, [785484, 598151]
business : 2302124473, 127, 3, [505609, 453718]
economy : 1221346041, 101, 2, [505609, 707174]
economy : 7039353514, 50, 8, [785484, 453718]
economy : 7498121607, 106, 0, [535877, 146273]
economy : 4426469087, 185, 1, [522419, 664949]
economy : 6478649749, 191, 0, [246253, 146273]
economy : 8144336712, 109, 10, [707174, 453718]
business : 2932421453, 143, 5, [453718, 664949]
business : 4147186882, 149, 1, [775884, 664949]
economy : 5452159783, 149, 2, [664949, 522419]
economy : 3180433040, 195, 3, [146273, 535877]
economy : 2523797069, 168, 0, [224063, 110455]
economy : 8072392013, 118, 2, [224063, 535877]
economy : 9198154063, 88, 1, [598151, 505609]
economy : 1743946857, 46, 1, [246253, 453718]
economy : 5815053919, 122, 10, [707174, 453718]
economy : 9862740455, 91, 1, [505609, 453718]
economy : 5329219743, 89, 2, [598151, 522419]
economy : 7019160702, 78, 0, [146273, 453718]
business : 6222404467, 197, 4, [785484, 775884]
business : 1447893189, 115, 1, [775884, 453718]
economy : 1560546378, 96, 3, [598151, 707174]
economy : 4028092715, 113, 3, [110455, 478446]
business : 5120019462, 47, 4, [775884, 522419]
economy : 9897581914, 84, 0, [785484, 522419]
business : 8991559606, 74, 2, [118815, 110455]
economy : 6333102583, 126, 0, [664949, 785484]
economy : 2623533989, 131, 9, [118815, 785484]
economy : 3883655790, 147, 2, [598151, 535877]
economy : 3011796001, 63, 0, [110455, 664949]
economy : 5797159543, 199, 1, [598151, 785484]
